Video Generation Experience,,MoCA [Blending Quality (BQ)],MoCA [Video Consistency (VC)],MoCA[Character Consistency (CC)],MoCA [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AnimateDiff [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AniamteDiff [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA [Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],concept blending: duck + eagle [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA  [Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AnimateDiff [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA [Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AnimateDiff [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],Freeblend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA [Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AnimateDiff [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA[Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AniamteDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AniamteDiff [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AniamteDiff [Character Consistency (CC)],AniamteDiff [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],Freeblend [Overall Quality (OQ)],MoCA [Blending Quality (BQ)],MoCA [Video Consistency (VC)],MoCA [Character Consistency (CC)],MoCA [Overall Quality (OQ)],FreeBlend [Blending Quality (BQ)],FreeBlend [Video Consistency (VC)],FreeBlend [Character Consistency (CC)],FreeBlend [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],AnimateDiff [Character Consistency (CC)],AniamteDiff [Overall Quality (OQ)],AnimateDiff [Blending Quality (BQ)],AnimateDiff [Video Consistency (VC)],Aniamtediff [Character Consistency (CC)],AnimateDiff [Overall Quality (OQ)]
5,,5,3,5,4,2,4,3,3,1,1,1,1,2,5,5,3,4,2,3,2,1,1,1,1,3,3,5,2,1,1,1,1,2,3,5,2,4,2,5,3,1,2,5,2,1,1,1,1,1,4,4,3,5,4,5,4,2,4,4,2,3,2,3,2,2,1,3,1,2,2,4,2,3,4,4,3,1,1,1,1,4,3,4,4,2,2,2,1,2,3,3,1,4,4,4,4
5,,5,4,4,4,2,4,3,3,1,1,1,1,2,5,5,3,5,4,4,4,1,2,2,2,4,5,5,4,1,1,1,1,2,5,5,4,5,4,4,4,1,4,4,3,1,1,1,1,1,4,4,2,5,5,5,5,1,4,4,3,5,5,5,4,2,2,2,2,3,3,3,3,2,3,3,2,1,1,1,1,5,3,4,4,2,2,1,2,3,4,5,3,5,5,5,5
4,,5,5,5,5,2,4,2,2,1,1,1,1,3,5,5,4,3,3,3,3,1,1,1,1,5,5,5,5,1,1,1,1,2,3,3,3,5,5,5,5,1,3,3,2,1,1,1,1,1,1,1,1,3,5,3,3,3,3,3,3,4,5,5,4,2,3,3,2,4,4,3,3,4,3,3,3,1,1,1,1,5,5,5,5,1,1,1,1,2,5,5,3,5,5,5,5
1,,4,4,3,4,3,4,4,4,2,2,2,2,1,4,4,2,4,2,4,3,2,2,2,2,3,4,3,3,1,2,2,2,1,4,4,2,4,4,4,4,2,3,2,2,2,2,2,2,1,3,,2,3,4,2,3,2,4,4,3,3,4,4,3,2,2,2,2,2,3,3,2,4,3,3,3,1,4,1,2,4,4,4,4,2,2,2,2,3,3,3,3,2,4,4,3
2,,4,3,3,4,1,3,1,1,1,1,1,1,1,4,4,2,2,3,2,2,1,1,1,1,3,4,4,2,1,1,1,1,1,2,3,1,4,3,3,3,3,2,2,2,1,1,1,1,3,4,4,2,3,3,2,3,1,1,1,2,3,4,4,3,2,2,3,2,2,2,2,2,2,3,2,3,2,3,1,1,4,4,4,4,1,2,1,2,2,3,3,2,4,4,4,4
2,,4,4,3,5,2,4,4,3,2,2,4,2,4,4,4,5,3,4,4,5,2,3,2,5,5,5,5,5,2,2,2,2,3,4,4,3,4,4,3,5,4,3,5,5,1,2,2,2,3,4,2,5,4,3,4,5,3,4,3,4,5,4,4,4,4,3,4,4,4,4,3,4,3,2,3,3,1,1,1,1,4,4,4,4,3,3,2,3,4,3,3,2,4,4,3,4
4,,4,4,4,5,2,2,3,2,1,1,1,2,4,4,4,4,5,5,5,5,3,2,4,3,5,5,3,5,3,3,2,3,1,1,1,3,5,5,5,5,2,3,2,4,3,3,4,4,3,3,2,2,4,5,4,5,2,3,2,3,5,5,5,5,2,2,2,2,3,3,2,3,5,5,5,5,1,1,1,2,5,5,5,5,5,5,5,5,3,2,3,3,5,5,4,5
4,,5,4,5,5,2,5,1,3,1,1,1,1,1,5,1,1,5,3,4,3,2,1,3,2,4,2,4,4,1,1,1,1,1,5,1,2,5,4,5,4,1,5,2,3,1,1,1,1,1,1,1,1,4,4,4,4,3,4,2,2,4,3,4,3,1,2,1,1,3,3,2,3,3,4,4,4,1,1,1,1,4,3,5,4,2,3,1,1,2,4,1,2,3,5,4,3
2,,4,2,4,3,2,4,1,2,1,1,1,1,1,4,1,1,4,1,2,2,1,1,1,1,3,4,4,2,1,1,1,1,1,4,1,2,3,2,4,3,2,4,3,2,1,1,1,1,2,2,2,2,4,4,4,4,4,4,4,4,3,4,3,3,1,1,1,1,2,3,3,2,3,3,3,3,1,1,1,1,4,3,3,4,2,2,2,2,2,2,2,2,4,4,4,4
2,,2,2,4,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,1,1,1,1,3,3,3,3,1,1,1,1,2,3,2,3,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,1,2,2,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,4,4,4,4,1,1,1,1,1,1,1,1,3,3,3,3
4,,5,4,5,5,1,3,1,1,1,1,1,1,1,3,1,1,3,2,3,2,2,2,2,2,4,4,3,4,2,3,2,2,2,4,2,2,4,2,2,3,2,2,2,3,1,1,1,1,1,2,1,2,3,3,3,4,2,3,2,3,3,3,3,3,1,2,1,2,3,4,3,3,3,4,2,3,1,1,1,2,4,4,4,4,1,1,1,2,3,2,3,3,4,4,4,4
5,,3,3,3,3,2,2,1,2,1,1,1,1,2,4,4,3,4,2,4,2,1,1,1,1,3,4,5,4,1,1,1,1,1,4,4,2,4,2,4,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,4,4,2,3,2,3,2,1,1,1,1,2,2,3,2,3,2,3,2,1,1,1,1,4,3,4,3,3,2,2,2,2,3,4,2,4,3,4,3
2,,5,4,5,5,2,4,2,2,1,2,2,1,1,3,1,1,4,3,4,4,2,2,2,2,3,4,4,4,1,1,1,1,1,1,1,1,5,5,5,5,1,3,1,1,2,1,1,1,3,3,2,2,5,4,4,5,1,3,2,2,3,4,4,4,1,1,1,1,3,4,2,3,5,4,5,5,1,1,1,1,5,5,5,5,2,2,3,2,2,3,2,2,5,5,4,4
1,,4,4,4,3,2,2,3,2,1,1,1,1,2,5,5,3,3,2,3,2,1,1,1,1,4,4,5,4,1,1,1,1,2,4,4,4,4,2,4,3,2,5,4,4,1,1,1,1,1,4,4,2,5,4,5,4,3,4,4,4,3,3,2,3,2,3,1,2,4,4,3,4,3,4,3,3,1,1,1,1,4,4,4,4,2,1,1,2,4,4,4,4,5,5,4,4
5,,4,3,4,4,2,5,1,2,1,2,1,1,2,4,1,2,2,3,3,3,1,1,1,1,3,4,3,4,1,1,1,1,4,4,1,2,3,4,2,3,2,4,1,2,1,1,1,1,1,1,1,1,4,5,4,4,3,5,2,2,3,4,2,3,2,2,2,2,3,3,2,2,3,4,2,3,1,1,1,1,4,4,4,4,2,3,2,2,4,4,4,4,2,4,4,3
2,,4,4,5,4,2,2,1,2,1,1,1,1,1,4,1,2,5,4,5,4,2,2,2,2,5,5,5,5,1,1,1,1,2,4,2,2,3,5,4,4,1,2,1,2,4,2,3,4,4,5,3,4,3,5,3,4,1,3,1,2,1,4,1,2,3,2,2,2,4,5,5,5,2,3,3,3,1,1,1,1,5,5,5,5,2,2,2,1,4,4,4,4,5,5,5,5
2,,4,4,3,4,2,2,2,2,1,2,1,2,2,4,3,3,5,4,4,4,1,2,2,2,5,5,5,5,1,1,1,1,1,1,1,1,4,2,4,2,2,2,2,2,1,1,1,1,1,1,1,1,5,5,5,5,1,1,1,1,3,4,3,3,1,1,1,1,2,4,3,3,5,4,4,4,1,1,1,1,1,3,3,3,1,1,1,1,1,1,1,1,5,5,5,5